column,dtype,missing_values,missing_percentage,unique_values
Rk,int64,0,0.0,2854
Player,str,0,0.0,2702
Nation,str,7,0.25,113
Pos,str,0,0.0,10
Squad,str,0,0.0,96
Comp,str,0,0.0,5
Age,float64,8,0.28,27
Born,float64,8,0.28,26
MP,int64,0,0.0,38
Starts,int64,0,0.0,39
Min,int64,0,0.0,1700
90s,float64,0,0.0,369
Gls,int64,0,0.0,29
Ast,int64,0,0.0,16
G+A,int64,0,0.0,33
G-PK,int64,0,0.0,23
PK,int64,0,0.0,10
PKatt,int64,0,0.0,10
CrdY,int64,0,0.0,16
CrdR,int64,0,0.0,4
xG,float64,0,0.0,146
npxG,float64,0,0.0,128
xAG,float64,0,0.0,92
npxG+xAG,float64,0,0.0,182
G+A-PK,float64,0,0.0,127
xG+xAG,float64,0,0.0,129
PrgC,int64,0,0.0,145
PrgP,int64,0,0.0,223
PrgR,int64,0,0.0,258
Sh,int64,0,0.0,106
SoT,int64,0,0.0,48
SoT%,float64,519,18.19,278
Sh/90,float64,0,0.0,430
SoT/90,float64,0,0.0,211
G/Sh,float64,519,18.19,40
G/SoT,float64,885,31.01,65
Dist,float64,519,18.19,276
FK,int64,0,0.0,19
PK_stats_shooting,int64,0,0.0,10
PKatt_stats_shooting,int64,0,0.0,10
xG_stats_shooting,float64,0,0.0,146
npxG_stats_shooting,float64,0,0.0,128
npxG/Sh,float64,519,18.19,45
G-xG,float64,0,0.0,102
np:G-xG,float64,0,0.0,97
Cmp,int64,0,0.0,1151
Att,int64,0,0.0,1300
Cmp%,float64,19,0.67,416
TotDist,int64,0,0.0,2541
PrgDist,int64,0,0.0,2121
Ast_stats_passing,int64,0,0.0,16
xAG_stats_passing,float64,0,0.0,92
xA,float64,0,0.0,89
A-xAG,float64,0,0.0,86
KP,int64,0,0.0,80
1/3,int64,0,0.0,205
PPA,int64,0,0.0,77
CrsPA,int64,0,0.0,33
PrgP_stats_passing,int64,0,0.0,223
Live,int64,0,0.0,1221
Dead,int64,0,0.0,312
FK_stats_passing_types,int64,0,0.0,123
TB,int64,0,0.0,30
Sw,int64,0,0.0,39
Crs,int64,0,0.0,179
TI,int64,0,0.0,225
CK,int64,0,0.0,98
In,int64,0,0.0,60
Out,int64,0,0.0,50
Str,int64,0,0.0,7
Cmp_stats_passing_types,int64,0,0.0,1151
Tkl,int64,0,0.0,100
TklW,int64,0,0.0,68
Def 3rd,int64,0,0.0,61
Mid 3rd,int64,0,0.0,53
Att 3rd,int64,0,0.0,24
Att_stats_defense,int64,0,0.0,101
Tkl%,float64,354,12.4,367
Lost,int64,0,0.0,54
Blocks_stats_defense,int64,0,0.0,68
Sh_stats_defense,int64,0,0.0,43
Pass,int64,0,0.0,51
Int,int64,0,0.0,64
Tkl+Int,int64,0,0.0,140
Clr,int64,0,0.0,192
Err,int64,0,0.0,11
SCA,int64,0,0.0,143
SCA90,float64,0,0.0,558
PassLive,int64,0,0.0,111
PassDead,int64,0,0.0,43
TO,int64,0,0.0,25
Sh_stats_gca,int64,0,0.0,21
Fld,int64,0,0.0,17
Def,int64,0,0.0,8
GCA,int64,0,0.0,29
GCA90,float64,0,0.0,122
Touches,int64,0,0.0,1435
Def Pen,int64,0,0.0,390
