player_name,team_name,role_group,age,minutes_played,performance_percentile,decision,blocked_by_player,blocked_by_minutes,blocked_by_performance_percentile
Raheem Sterling,Arsenal,AttMidWinger,29.0,499.0,42.08,Monitor,Gabriel Martinelli,2290.0,63.37
Oleksandr Zinchenko,Arsenal,DefMidWingBack,27.0,527.0,48.28,Monitor,Thomas Partey,2797.0,51.72
Jurriën Timber,Arsenal,Defender,23.0,2417.0,9.29,Monitor,William Saliba,3039.0,24.59
Myles Lewis-Skelly,Arsenal,Defender,17.0,1369.0,6.01,Monitor,William Saliba,3039.0,24.59
Riccardo Calafiori,Arsenal,Defender,22.0,983.0,19.13,Monitor,William Saliba,3039.0,24.59
Gabriel Jesus,Arsenal,Forward,27.0,608.0,41.98,Monitor,Leandro Trossard,2546.0,75.31
Nathan Butler-Oyedeji,Arsenal,Forward,21.0,7.0,12.96,Loan,Leandro Trossard,2546.0,75.31
Jorginho,Arsenal,Midfielder,32.0,704.0,16.36,Sell,Declan Rice,2825.0,73.64
Martin Ødegaard,Arsenal,Midfielder,25.0,2325.0,58.18,Keep,Declan Rice,2825.0,73.64
Emi Buendía,Aston Villa,AttMidWinger,27.0,98.0,35.64,Monitor,Morgan Rogers,3114.0,66.34
Jacob Ramsey,Aston Villa,AttMidWinger,23.0,1623.0,26.73,Monitor,Morgan Rogers,3114.0,66.34
John McGinn,Aston Villa,AttMidWinger,29.0,2223.0,22.77,Monitor,Morgan Rogers,3114.0,66.34
Leon Bailey,Aston Villa,AttMidWinger,26.0,1139.0,21.78,Monitor,Morgan Rogers,3114.0,66.34
Kosta Nedeljković,Aston Villa,Defender,18.0,126.0,17.49,Loan,Ezri Konsa,2936.0,18.03
Pau Torres,Aston Villa,Defender,27.0,2020.0,14.75,Monitor,Ezri Konsa,2936.0,18.03
Donyell Malen,Aston Villa,Forward,25.0,305.0,85.19,Monitor,Ollie Watkins,2598.0,95.06
Jáder Durán,Aston Villa,Forward,20.0,638.0,91.36,Loan,Ollie Watkins,2598.0,95.06
Robin Olsen,Aston Villa,Goalkeeper,34.0,226.0,22.73,Sell,Emiliano Martínez,3194.0,68.18
Boubacar Kamara,Aston Villa,Midfielder,24.0,1726.0,34.55,Monitor,Youri Tielemans,3026.0,62.73
Ben Winterburn,Bournemouth,AttMidWinger,19.0,24.0,2.97,Loan,Marcus Tavernier,1939.0,53.47
David Brooks,Bournemouth,AttMidWinger,27.0,960.0,27.72,Monitor,Marcus Tavernier,1939.0,53.47
Adam Smith,Bournemouth,Defender,33.0,1590.0,16.39,Monitor,Milos Kerkez,3336.0,24.04
Max Aarons,Bournemouth,Defender,24.0,86.0,15.57,Monitor,Milos Kerkez,3336.0,24.04
Evanilson,Bournemouth,Forward,24.0,2319.0,43.21,Monitor,Antoine Semenyo,3203.0,54.32
Remy Rees-Dottin,Bournemouth,Forward,18.0,1.0,12.96,Loan,Antoine Semenyo,3203.0,54.32
Zain Silcott-Duberry,Bournemouth,Forward,19.0,1.0,12.96,Loan,Antoine Semenyo,3203.0,54.32
