role_group,decision,count
AttMidWinger,Give More Chances,29
AttMidWinger,Keep,17
AttMidWinger,Loan,8
AttMidWinger,Monitor,45
AttMidWinger,Sell,2
DefMidWingBack,Give More Chances,10
DefMidWingBack,Keep,4
DefMidWingBack,Loan,1
DefMidWingBack,Monitor,11
DefMidWingBack,Sell,3
Defender,Give More Chances,50
Defender,Keep,37
Defender,Loan,15
Defender,Monitor,73
Defender,Sell,8
Forward,Give More Chances,12
Forward,Keep,25
Forward,Loan,16
Forward,Monitor,25
Forward,Sell,3
Goalkeeper,Give More Chances,6
Goalkeeper,Keep,14
Goalkeeper,Loan,3
Goalkeeper,Monitor,14
Goalkeeper,Sell,7
Midfielder,Give More Chances,18
Midfielder,Keep,31
Midfielder,Loan,14
Midfielder,Monitor,42
Midfielder,Sell,5
WingBack,Give More Chances,6
WingBack,Loan,1
WingBack,Monitor,6
WingBack,Sell,1
