player_id,team_id,player_name,nationality,raw_position,role_group,team_name,league_name,age,matches_played,games_started,minutes_played,nineties_played,goals,assists,expected_goals,expected_assisted_goals,tackles,interceptions,clearances,blocks,goals_against,saves,save_percentage,clean_sheets,goals_per_90,assists_per_90,tackles_per_90,interceptions_per_90,clearances_per_90,blocks_per_90,clean_sheets_per_90,goals_against_per_90,normalized_goals_per_90,normalized_assists_per_90,normalized_tackles_per_90,normalized_interceptions_per_90,normalized_clearances_per_90,normalized_blocks_per_90,normalized_save_percentage,normalized_clean_sheets_per_90,normalized_goals_against_per_90,raw_performance_score,performance_score,performance_percentile,performance_level,age_group,minutes_group,same_role_team_average,competition_status,decision,decision_reason,explanation
matz_sels_nott'ham_forest,nott'ham_forest,Matz Sels,be BEL,GK,Goalkeeper,Nott'ham Forest,eng Premier League,32.0,38,38,3420,38.0,0,0,0.0,0.4,1,0,26,0,46.0,119.0,73.9,13.0,0.0,0.0,0.0263157894736842,0.0,0.6842105263157895,0.0,0.3421052631578947,1.2105263157894737,0.0,0.0,0.0526315789473684,0.0,0.3040935672514619,0.0,0.7390000000000001,0.0342105263157894,0.3026315789473684,0.4705789473684211,0.4117611336032388,79.55,Good,Senior,HighMinutes,0.4117611336032388,Competitive,Keep,High minutes and at least promising role-based performance.,Matz Sels is classified as Keep because: High minutes and at least promising role-based performance.
nathan_collins_brentford,brentford,Nathan Collins,ie IRL,DF,Defender,Brentford,eng Premier League,23.0,38,38,3420,38.0,2,3,2.5,1.8,40,34,226,77,0.0,0.0,0.0,0.0,0.0526315789473684,0.0789473684210526,1.0526315789473684,0.8947368421052632,5.947368421052632,2.026315789473684,0.0,0.0,0.1526315789473684,0.2684210526315789,0.0526315789473684,0.0894736842105263,0.5947368421052632,0.2026315789473684,0.0,0.0,0.0,0.9394736842105263,0.4697368421052632,84.7,Good,Prime,HighMinutes,0.32863303828044144,Competitive,Keep,High minutes and at least promising role-based performance.,Nathan Collins is classified as Keep because: High minutes and at least promising role-based performance.
david_raya_arsenal,arsenal,David Raya,es ESP,GK,Goalkeeper,Arsenal,eng Premier League,28.0,38,38,3420,38.0,0,0,0.0,0.0,0,2,21,0,34.0,86.0,74.2,13.0,0.0,0.0,0.0,0.0526315789473684,0.5526315789473685,0.0,0.3421052631578947,0.8947368421052632,0.0,0.0,0.0,0.7894736842105263,0.2456140350877193,0.0,0.742,0.0342105263157894,0.2236842105263158,0.5525263157894736,0.4432793522267206,90.91,Good,Prime,HighMinutes,0.4432793522267206,Competitive,Keep,High minutes and at least promising role-based performance.,David Raya is classified as Keep because: High minutes and at least promising role-based performance.
jordan_pickford_everton,everton,Jordan Pickford,eng ENG,GK,Goalkeeper,Everton,eng Premier League,30.0,38,38,3420,38.0,0,1,0.0,0.4,1,1,30,0,44.0,117.0,73.0,12.0,0.0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.7894736842105263,0.0,0.3157894736842105,1.1578947368421053,0.0,0.1697368421052631,0.0526315789473684,0.3947368421052631,0.3508771929824561,0.0,0.73,0.031578947368421,0.2894736842105263,0.4721052631578947,0.4123481781376518,81.82,Good,Senior,HighMinutes,0.4123481781376518,Competitive,Keep,High minutes and at least promising role-based performance.,Jordan Pickford is classified as Keep because: High minutes and at least promising role-based performance.
dean_henderson_crystal_palace,crystal_palace,Dean Henderson,eng ENG,GK,Goalkeeper,Crystal Palace,eng Premier League,27.0,38,38,3420,38.0,0,0,0.0,0.2,2,0,22,0,51.0,101.0,66.7,11.0,0.0,0.0,0.0526315789473684,0.0,0.5789473684210527,0.0,0.2894736842105263,1.3421052631578947,0.0,0.0,0.1052631578947368,0.0,0.2573099415204678,0.0,0.667,0.0289473684210526,0.3355263157894737,0.360421052631579,0.3693927125506073,61.36,Good,Prime,HighMinutes,0.3693927125506073,Competitive,Keep,High minutes and at least promising role-based performance.,Dean Henderson is classified as Keep because: High minutes and at least promising role-based performance.
bernd_leno_fulham,fulham,Bernd Leno,de GER,GK,Goalkeeper,Fulham,eng Premier League,32.0,38,38,3420,38.0,0,1,0.0,0.1,2,0,11,1,54.0,106.0,67.9,5.0,0.0,0.0263157894736842,0.0526315789473684,0.0,0.2894736842105263,0.0263157894736842,0.131578947368421,1.4210526315789471,0.0,0.1697368421052631,0.1052631578947368,0.0,0.1286549707602339,0.4078947368421052,0.679,0.0131578947368421,0.3552631578947368,0.3368947368421053,0.3603441295546559,54.55,Promising,Senior,HighMinutes,0.3603441295546559,Competitive,Keep,High minutes and at least promising role-based performance.,Bernd Leno is classified as Keep because: High minutes and at least promising role-based performance.
bryan_mbeumo_brentford,brentford,Bryan Mbeumo,cm CMR,FW,Forward,Brentford,eng Premier League,24.0,38,38,3414,37.9,20,7,12.3,8.3,49,14,55,26,0.0,0.0,0.0,0.0,0.5277044854881267,0.1846965699208443,1.2928759894459103,0.3693931398416886,1.4511873350923483,0.6860158311345647,0.0,0.0,0.5352431209950999,0.3693931398416886,0.129287598944591,0.1385224274406332,0.4353562005277044,0.0686015831134564,0.0,0.0,0.0,0.9046362608367884,0.5186001713685455,86.42,Good,Prime,HighMinutes,0.44729235226646064,Competitive,Keep,High minutes and at least promising role-based performance.,Bryan Mbeumo is classified as Keep because: High minutes and at least promising role-based performance.
mohamed_salah_liverpool,liverpool,Mohamed Salah,eg EGY,FW,Forward,Liverpool,eng Premier League,32.0,38,38,3371,37.5,29,18,25.2,14.2,21,9,5,12,0.0,0.0,0.0,0.0,0.7733333333333333,0.48,0.56,0.24,0.1333333333333333,0.32,0.0,0.0,0.7843809523809524,0.96,0.056,0.09,0.04,0.032,0.0,0.0,0.0,1.7443809523809524,1.0,100.0,Good,Senior,HighMinutes,0.485871367814583,Competitive,Keep,High minutes and at least promising role-based performance.,Mohamed Salah is classified as Keep because: High minutes and at least promising role-based performance.
moisés_caicedo_chelsea,chelsea,Moisés Caicedo,ec ECU,"MF,DF",DefMidWingBack,Chelsea,eng Premier League,22.0,38,38,3351,37.2,1,2,0.8,3.0,114,49,60,49,0.0,0.0,0.0,0.0,0.0268817204301075,0.053763440860215,3.064516129032258,1.3172043010752688,1.6129032258064515,1.3172043010752688,0.0,0.0,0.0819892473118279,0.1666666666666666,0.3996415770609319,0.3951612903225806,0.3975993998499625,0.2414874551971326,0.0,0.0,0.0,1.3590689339001418,0.3613913818447464,62.07,Good,Young,HighMinutes,0.2643938562008416,Competitive,Keep,High minutes and at least promising role-based performance.,Moisés Caicedo is classified as Keep because: High minutes and at least promising role-based performance.
max_kilman_west_ham,west_ham,Max Kilman,eng ENG,DF,Defender,West Ham,eng Premier League,27.0,38,38,3348,37.2,0,1,1.6,1.2,39,38,212,58,0.0,0.0,0.0,0.0,0.0,0.0268817204301075,1.0483870967741935,1.021505376344086,5.698924731182795,1.5591397849462365,0.0,0.0,0.0,0.0913978494623655,0.0524193548387096,0.1021505376344086,0.5698924731182795,0.1559139784946236,0.0,0.0,0.0,0.8803763440860214,0.4401881720430107,77.05,Good,Prime,HighMinutes,0.32336264326057407,Competitive,Keep,High minutes and at least promising role-based performance.,Max Kilman is classified as Keep because: High minutes and at least promising role-based performance.
