player_id,team_id,player_name,nationality,raw_position,broad_position_group,team_name,league_name,age,matches_played,games_started,minutes_played,nineties_played,goals,assists,expected_goals,expected_assisted_goals,tackles,interceptions,clearances,blocks,goals_against,saves,save_percentage,clean_sheets
matz_sels_nott'ham_forest,nott'ham_forest,Matz Sels,be BEL,GK,Goalkeeper,Nott'ham Forest,eng Premier League,32.0,38,38,3420,38.0,0,0,0.0,0.4,1,0,26,0,46.0,119.0,73.9,13.0
nathan_collins_brentford,brentford,Nathan Collins,ie IRL,DF,Defender,Brentford,eng Premier League,23.0,38,38,3420,38.0,2,3,2.5,1.8,40,34,226,77,0.0,0.0,0.0,0.0
david_raya_arsenal,arsenal,David Raya,es ESP,GK,Goalkeeper,Arsenal,eng Premier League,28.0,38,38,3420,38.0,0,0,0.0,0.0,0,2,21,0,34.0,86.0,74.2,13.0
jordan_pickford_everton,everton,Jordan Pickford,eng ENG,GK,Goalkeeper,Everton,eng Premier League,30.0,38,38,3420,38.0,0,1,0.0,0.4,1,1,30,0,44.0,117.0,73.0,12.0
dean_henderson_crystal_palace,crystal_palace,Dean Henderson,eng ENG,GK,Goalkeeper,Crystal Palace,eng Premier League,27.0,38,38,3420,38.0,0,0,0.0,0.2,2,0,22,0,51.0,101.0,66.7,11.0
bernd_leno_fulham,fulham,Bernd Leno,de GER,GK,Goalkeeper,Fulham,eng Premier League,32.0,38,38,3420,38.0,0,1,0.0,0.1,2,0,11,1,54.0,106.0,67.9,5.0
bryan_mbeumo_brentford,brentford,Bryan Mbeumo,cm CMR,FW,Forward,Brentford,eng Premier League,24.0,38,38,3414,37.9,20,7,12.3,8.3,49,14,55,26,0.0,0.0,0.0,0.0
mohamed_salah_liverpool,liverpool,Mohamed Salah,eg EGY,FW,Forward,Liverpool,eng Premier League,32.0,38,38,3371,37.5,29,18,25.2,14.2,21,9,5,12,0.0,0.0,0.0,0.0
moisés_caicedo_chelsea,chelsea,Moisés Caicedo,ec ECU,"MF,DF",Midfielder,Chelsea,eng Premier League,22.0,38,38,3351,37.2,1,2,0.8,3.0,114,49,60,49,0.0,0.0,0.0,0.0
max_kilman_west_ham,west_ham,Max Kilman,eng ENG,DF,Defender,West Ham,eng Premier League,27.0,38,38,3348,37.2,0,1,1.6,1.2,39,38,212,58,0.0,0.0,0.0,0.0
milos_kerkez_bournemouth,bournemouth,Milos Kerkez,hu HUN,DF,Defender,Bournemouth,eng Premier League,20.0,38,38,3336,37.1,2,5,0.6,3.9,52,45,106,38,0.0,0.0,0.0,0.0
dan_burn_newcastle_utd,newcastle_utd,Dan Burn,eng ENG,DF,Defender,Newcastle Utd,eng Premier League,32.0,37,37,3330,37.0,1,1,2.0,0.9,39,27,197,36,0.0,0.0,0.0,0.0
virgil_van_dijk_liverpool,liverpool,Virgil van Dijk,nl NED,DF,Defender,Liverpool,eng Premier League,33.0,37,37,3330,37.0,3,1,2.2,0.7,38,56,190,27,0.0,0.0,0.0,0.0
nikola_milenković_nott'ham_forest,nott'ham_forest,Nikola Milenković,rs SRB,DF,Defender,Nott'ham Forest,eng Premier League,26.0,37,37,3330,37.0,5,2,4.0,1.1,51,27,209,41,0.0,0.0,0.0,0.0
joško_gvardiol_manchester_city,manchester_city,Joško Gvardiol,hr CRO,DF,Defender,Manchester City,eng Premier League,22.0,37,36,3277,36.4,5,0,4.6,2.1,58,44,122,42,0.0,0.0,0.0,0.0
mark_flekken_brentford,brentford,Mark Flekken,nl NED,GK,Goalkeeper,Brentford,eng Premier League,31.0,37,37,3275,36.4,0,2,0.0,0.5,4,0,26,2,55.0,150.0,73.4,7.0
bruno_guimarães_newcastle_utd,newcastle_utd,Bruno Guimarães,br BRA,MF,Midfielder,Newcastle Utd,eng Premier League,26.0,38,38,3271,36.3,5,6,4.3,6.1,83,29,44,36,0.0,0.0,0.0,0.0
bart_verbruggen_brighton,brighton,Bart Verbruggen,nl NED,GK,Goalkeeper,Brighton,eng Premier League,21.0,36,36,3240,36.0,0,1,0.0,0.0,0,0,29,1,58.0,87.0,65.7,7.0
daniel_muñoz_crystal_palace,crystal_palace,Daniel Muñoz,co COL,DF,Defender,Crystal Palace,eng Premier League,28.0,37,37,3228,35.9,4,5,4.9,5.5,123,44,108,40,0.0,0.0,0.0,0.0
antoine_semenyo_bournemouth,bournemouth,Antoine Semenyo,gh GHA,FW,Forward,Bournemouth,eng Premier League,24.0,37,36,3203,35.6,11,5,10.0,5.8,55,11,39,67,0.0,0.0,0.0,0.0
emiliano_martínez_aston_villa,aston_villa,Emiliano Martínez,ar ARG,GK,Goalkeeper,Aston Villa,eng Premier League,31.0,37,37,3194,35.5,0,0,0.0,0.5,3,0,17,1,45.0,96.0,69.0,8.0
cole_palmer_chelsea,chelsea,Cole Palmer,eng ENG,"MF,FW",Midfielder,Chelsea,eng Premier League,22.0,37,36,3191,35.5,15,8,17.3,10.9,34,11,20,16,0.0,0.0,0.0,0.0
murillo_nott'ham_forest,nott'ham_forest,Murillo,br BRA,DF,Defender,Nott'ham Forest,eng Premier League,22.0,36,36,3188,35.4,2,0,1.4,1.2,53,36,249,69,0.0,0.0,0.0,0.0
antonee_robinson_fulham,fulham,Antonee Robinson,us USA,DF,Defender,Fulham,eng Premier League,26.0,36,35,3167,35.2,0,10,0.7,4.2,95,62,133,43,0.0,0.0,0.0,0.0
ryan_gravenberch_liverpool,liverpool,Ryan Gravenberch,nl NED,MF,Midfielder,Liverpool,eng Premier League,22.0,37,37,3160,35.1,0,4,1.1,3.1,69,60,59,35,0.0,0.0,0.0,0.0
aaron_wan-bissaka_west_ham,west_ham,Aaron Wan-Bissaka,eng ENG,DF,Defender,West Ham,eng Premier League,26.0,36,35,3154,35.0,2,5,1.2,3.5,70,66,125,37,0.0,0.0,0.0,0.0
levi_colwill_chelsea,chelsea,Levi Colwill,eng ENG,DF,Defender,Chelsea,eng Premier League,21.0,35,35,3149,35.0,2,1,1.9,1.1,47,33,118,37,0.0,0.0,0.0,0.0
dara_o'shea_ipswich_town,ipswich_town,Dara O'Shea,ie IRL,DF,Defender,Ipswich Town,eng Premier League,25.0,35,35,3122,34.7,0,2,1.3,0.5,49,33,225,62,0.0,0.0,0.0,0.0
maxence_lacroix_crystal_palace,crystal_palace,Maxence Lacroix,fr FRA,DF,Defender,Crystal Palace,eng Premier League,24.0,35,35,3116,34.6,1,1,3.4,1.0,68,54,207,48,0.0,0.0,0.0,0.0
morgan_rogers_aston_villa,aston_villa,Morgan Rogers,eng ENG,"FW,MF",Forward,Aston Villa,eng Premier League,22.0,37,37,3114,34.6,8,10,6.6,7.8,43,6,20,26,0.0,0.0,0.0,0.0
rayan_aït-nouri_wolves,wolves,Rayan Aït-Nouri,dz ALG,DF,Defender,Wolves,eng Premier League,23.0,37,37,3109,34.5,4,7,2.7,5.5,89,26,75,42,0.0,0.0,0.0,0.0
illia_zabarnyi_bournemouth,bournemouth,Illia Zabarnyi,ua UKR,DF,Defender,Bournemouth,eng Premier League,21.0,36,35,3109,34.5,0,1,1.3,0.7,52,41,182,33,0.0,0.0,0.0,0.0
keane_lewis-potter_brentford,brentford,Keane Lewis-Potter,eng ENG,"DF,FW",Defender,Brentford,eng Premier League,23.0,38,36,3093,34.4,1,3,3.1,3.2,49,21,76,28,0.0,0.0,0.0,0.0
tyrick_mitchell_crystal_palace,crystal_palace,Tyrick Mitchell,eng ENG,DF,Defender,Crystal Palace,eng Premier League,24.0,37,37,3092,34.4,0,5,1.3,6.4,91,19,108,68,0.0,0.0,0.0,0.0
vitaliy_mykolenko_everton,everton,Vitaliy Mykolenko,ua UKR,DF,Defender,Everton,eng Premier League,25.0,35,35,3082,34.2,1,2,0.5,2.6,63,44,145,25,0.0,0.0,0.0,0.0
calvin_bassey_fulham,fulham,Calvin Bassey,ng NGA,DF,Defender,Fulham,eng Premier League,24.0,35,34,3074,34.2,1,0,1.0,0.1,54,20,118,40,0.0,0.0,0.0,0.0
idrissa_gana_gueye_everton,everton,Idrissa Gana Gueye,sn SEN,MF,Midfielder,Everton,eng Premier League,34.0,37,35,3063,34.0,0,3,1.1,1.7,133,48,36,48,0.0,0.0,0.0,0.0
andré_onana_manchester_utd,manchester_utd,André Onana,cm CMR,GK,Goalkeeper,Manchester Utd,eng Premier League,28.0,34,34,3060,34.0,0,0,0.0,0.2,2,0,11,0,44.0,88.0,68.9,9.0
marc_guéhi_crystal_palace,crystal_palace,Marc Guéhi,eng ENG,DF,Defender,Crystal Palace,eng Premier League,24.0,34,34,3059,34.0,3,2,2.0,1.8,61,28,163,55,0.0,0.0,0.0,0.0
william_saliba_arsenal,arsenal,William Saliba,fr FRA,DF,Defender,Arsenal,eng Premier League,23.0,35,35,3039,33.8,2,0,2.3,0.9,62,21,119,25,0.0,0.0,0.0,0.0
youri_tielemans_aston_villa,aston_villa,Youri Tielemans,be BEL,MF,Midfielder,Aston Villa,eng Premier League,27.0,36,35,3026,33.6,3,7,3.3,7.0,84,23,47,38,0.0,0.0,0.0,0.0
bruno_fernandes_manchester_utd,manchester_utd,Bruno Fernandes,pt POR,MF,Midfielder,Manchester Utd,eng Premier League,29.0,36,35,3018,33.5,8,10,9.9,8.5,84,26,35,35,0.0,0.0,0.0,0.0
ola_aina_nott'ham_forest,nott'ham_forest,Ola Aina,ng NGA,DF,Defender,Nott'ham Forest,eng Premier League,27.0,35,35,2995,33.3,2,1,0.6,1.4,55,33,115,34,0.0,0.0,0.0,0.0
marc_cucurella_chelsea,chelsea,Marc Cucurella,es ESP,DF,Defender,Chelsea,eng Premier League,26.0,36,33,2988,33.2,5,1,2.8,2.1,67,28,95,49,0.0,0.0,0.0,0.0
alex_iwobi_fulham,fulham,Alex Iwobi,ng NGA,"FW,MF",Forward,Fulham,eng Premier League,28.0,38,35,2981,33.1,9,6,4.7,7.0,44,14,29,26,0.0,0.0,0.0,0.0
lewis_cook_bournemouth,bournemouth,Lewis Cook,eng ENG,"MF,DF",Midfielder,Bournemouth,eng Premier League,27.0,36,32,2978,33.1,1,3,0.9,4.1,81,41,70,30,0.0,0.0,0.0,0.0
joão_gomes_wolves,wolves,João Gomes,br BRA,MF,Midfielder,Wolves,eng Premier League,23.0,36,35,2974,33.0,3,1,2.9,1.2,116,25,33,42,0.0,0.0,0.0,0.0
jarrod_bowen_west_ham,west_ham,Jarrod Bowen,eng ENG,"FW,MF",Forward,West Ham,eng Premier League,27.0,34,34,2973,33.0,13,8,8.6,6.8,41,16,25,22,0.0,0.0,0.0,0.0
chris_wood_nott'ham_forest,nott'ham_forest,Chris Wood,nz NZL,FW,Forward,Nott'ham Forest,eng Premier League,32.0,36,35,2959,32.9,20,3,13.4,2.6,6,5,29,12,0.0,0.0,0.0,0.0
jan_paul_van_hecke_brighton,brighton,Jan Paul van Hecke,nl NED,DF,Defender,Brighton,eng Premier League,24.0,34,33,2958,32.9,1,1,1.3,1.5,45,24,142,37,0.0,0.0,0.0,0.0
enzo_fernández_chelsea,chelsea,Enzo Fernández,ar ARG,MF,Midfielder,Chelsea,eng Premier League,23.0,36,32,2947,32.7,6,7,6.1,6.8,65,13,23,43,0.0,0.0,0.0,0.0
ezri_konsa_aston_villa,aston_villa,Ezri Konsa,eng ENG,DF,Defender,Aston Villa,eng Premier League,26.0,34,33,2936,32.6,2,0,1.3,0.4,34,24,114,20,0.0,0.0,0.0,0.0
fabian_schär_newcastle_utd,newcastle_utd,Fabian Schär,ch SUI,DF,Defender,Newcastle Utd,eng Premier League,32.0,34,33,2934,32.6,4,0,3.7,0.4,36,45,138,38,0.0,0.0,0.0,0.0
james_tarkowski_everton,everton,James Tarkowski,eng ENG,DF,Defender,Everton,eng Premier League,31.0,33,33,2922,32.5,1,1,1.3,2.9,64,41,213,57,0.0,0.0,0.0,0.0
yoane_wissa_brentford,brentford,Yoane Wissa,cd COD,FW,Forward,Brentford,eng Premier League,27.0,35,34,2919,32.4,19,4,18.5,2.6,22,8,21,29,0.0,0.0,0.0,0.0
kyle_walker-peters_southampton,southampton,Kyle Walker-Peters,eng ENG,DF,Defender,Southampton,eng Premier League,27.0,33,33,2918,32.4,0,2,0.8,2.8,44,19,90,27,0.0,0.0,0.0,0.0
james_justin_leicester_city,leicester_city,James Justin,eng ENG,DF,Defender,Leicester City,eng Premier League,26.0,36,34,2912,32.4,2,2,1.5,0.8,58,46,141,48,0.0,0.0,0.0,0.0
mikkel_damsgaard_brentford,brentford,Mikkel Damsgaard,dk DEN,"MF,FW",Midfielder,Brentford,eng Premier League,24.0,38,34,2911,32.3,2,10,2.8,8.4,83,27,31,40,0.0,0.0,0.0,0.0
mateus_fernandes_southampton,southampton,Mateus Fernandes,pt POR,MF,Midfielder,Southampton,eng Premier League,20.0,36,34,2909,32.3,2,4,4.0,3.0,89,28,35,43,0.0,0.0,0.0,0.0
nélson_semedo_wolves,wolves,Nélson Semedo,pt POR,DF,Defender,Wolves,eng Premier League,30.0,34,32,2886,32.1,0,4,0.9,2.8,62,23,104,32,0.0,0.0,0.0,0.0
robert_sánchez_chelsea,chelsea,Robert Sánchez,es ESP,GK,Goalkeeper,Chelsea,eng Premier League,26.0,32,32,2880,32.0,0,0,0.0,0.1,0,2,24,0,34.0,92.0,76.4,10.0
valentino_livramento_newcastle_utd,newcastle_utd,Valentino Livramento,eng ENG,DF,Defender,Newcastle Utd,eng Premier League,21.0,37,32,2840,31.6,0,1,0.3,2.6,54,23,108,37,0.0,0.0,0.0,0.0
noussair_mazraoui_manchester_utd,manchester_utd,Noussair Mazraoui,ma MAR,DF,Defender,Manchester Utd,eng Premier League,26.0,37,34,2838,31.5,0,1,0.7,1.5,115,34,95,36,0.0,0.0,0.0,0.0
taylor_harwood-bellis_southampton,southampton,Taylor Harwood-Bellis,eng ENG,DF,Defender,Southampton,eng Premier League,22.0,34,32,2825,31.4,1,0,1.8,1.0,28,30,141,65,0.0,0.0,0.0,0.0
declan_rice_arsenal,arsenal,Declan Rice,eng ENG,MF,Midfielder,Arsenal,eng Premier League,25.0,35,33,2825,31.4,4,7,3.5,6.6,53,25,51,27,0.0,0.0,0.0,0.0
jamie_vardy_leicester_city,leicester_city,Jamie Vardy,eng ENG,FW,Forward,Leicester City,eng Premier League,37.0,35,35,2823,31.4,9,4,11.2,3.0,19,5,24,8,0.0,0.0,0.0,0.0
christian_nørgaard_brentford,brentford,Christian Nørgaard,dk DEN,MF,Midfielder,Brentford,eng Premier League,30.0,34,34,2819,31.3,5,4,4.3,1.3,79,49,70,52,0.0,0.0,0.0,0.0
wout_faes_leicester_city,leicester_city,Wout Faes,be BEL,DF,Defender,Leicester City,eng Premier League,26.0,34,30,2815,31.3,1,0,1.5,0.1,42,26,185,48,0.0,0.0,0.0,0.0
diogo_dalot_manchester_utd,manchester_utd,Diogo Dalot,pt POR,DF,Defender,Manchester Utd,eng Premier League,25.0,33,31,2814,31.3,0,3,2.0,2.0,68,37,72,22,0.0,0.0,0.0,0.0
morgan_gibbs-white_nott'ham_forest,nott'ham_forest,Morgan Gibbs-White,eng ENG,MF,Midfielder,Nott'ham Forest,eng Premier League,24.0,34,34,2803,31.1,7,8,6.3,5.0,43,23,29,18,0.0,0.0,0.0,0.0
thomas_partey_arsenal,arsenal,Thomas Partey,gh GHA,"MF,DF",Midfielder,Arsenal,eng Premier League,31.0,35,31,2797,31.1,4,2,2.3,2.1,89,35,49,29,0.0,0.0,0.0,0.0
kepa_arrizabalaga_bournemouth,bournemouth,Kepa Arrizabalaga,es ESP,GK,Goalkeeper,Bournemouth,eng Premier League,29.0,31,31,2790,31.0,0,0,0.1,0.0,1,0,15,2,39.0,95.0,73.9,8.0
alexander_isak_newcastle_utd,newcastle_utd,Alexander Isak,se SWE,FW,Forward,Newcastle Utd,eng Premier League,24.0,34,34,2756,30.6,23,6,20.3,4.3,12,3,17,18,0.0,0.0,0.0,0.0
sam_morsy_ipswich_town,ipswich_town,Sam Morsy,eg EGY,MF,Midfielder,Ipswich Town,eng Premier League,32.0,33,31,2751,30.6,1,1,0.4,1.2,68,29,47,34,0.0,0.0,0.0,0.0
leif_davis_ipswich_town,ipswich_town,Leif Davis,eng ENG,DF,Defender,Ipswich Town,eng Premier League,24.0,33,32,2743,30.5,1,2,1.0,4.9,46,25,77,25,0.0,0.0,0.0,0.0
erling_haaland_manchester_city,manchester_city,Erling Haaland,no NOR,FW,Forward,Manchester City,eng Premier League,24.0,31,31,2736,30.4,22,3,22.0,3.0,11,5,23,12,0.0,0.0,0.0,0.0
elliot_anderson_nott'ham_forest,nott'ham_forest,Elliot Anderson,eng ENG,MF,Midfielder,Nott'ham Forest,eng Premier League,21.0,37,33,2728,30.3,2,6,2.1,3.3,92,31,76,48,0.0,0.0,0.0,0.0
ismaila_sarr_crystal_palace,crystal_palace,Ismaila Sarr,sn SEN,MF,Midfielder,Crystal Palace,eng Premier League,26.0,38,30,2711,30.1,8,6,10.7,8.5,22,9,40,27,0.0,0.0,0.0,0.0
aaron_ramsdale_southampton,southampton,Aaron Ramsdale,eng ENG,GK,Goalkeeper,Southampton,eng Premier League,26.0,30,30,2700,30.0,0,0,0.0,0.0,0,2,10,0,66.0,120.0,67.6,3.0
bernardo_silva_manchester_city,manchester_city,Bernardo Silva,pt POR,"MF,FW",Midfielder,Manchester City,eng Premier League,29.0,33,29,2670,29.7,4,4,3.9,5.1,56,23,32,36,0.0,0.0,0.0,0.0
carlos_baleba_brighton,brighton,Carlos Baleba,cm CMR,MF,Midfielder,Brighton,eng Premier League,20.0,34,31,2661,29.6,3,1,3.1,1.3,79,46,44,47,0.0,0.0,0.0,0.0
jean-philippe_mateta_crystal_palace,crystal_palace,Jean-Philippe Mateta,fr FRA,FW,Forward,Crystal Palace,eng Premier League,27.0,37,33,2648,29.4,14,2,13.5,3.2,18,2,23,19,0.0,0.0,0.0,0.0
