column,missing_values
CS%,2651
PSxG/SoT,2648
Save%,2648
AvgDist,2646
Cmp%_stats_keeper_adv,2644
Stp%,2643
W,2642
D,2642
L,2642
PSxG+/-,2642
Saves,2642
PKatt_stats_keeper,2642
PKA,2642
PKsv,2642
PKm,2642
PSxG,2642
CS,2642
/90,2642
Cmp_stats_keeper_adv,2642
Att_stats_keeper_adv,2642
Att (GK),2642
Thr,2642
Launch%,2642
AvgLen,2642
Opp,2642
Stp,2642
GA90,2642
GA,2642
#OPA,2642
#OPA/90,2642
SoTA,2642
G/SoT,885
Dist,519
npxG/Sh,519
SoT%,519
G/Sh,519
Tkld%,443
Succ%,443
Tkl%,354
Won%,222
Cmp%,19
Born,8
Age,8
Nation,7
Att Pen,0
Live_stats_possession,0
Tkld,0
Att_stats_possession,0
Succ,0
Mid 3rd_stats_possession,0
Carries,0
Att 3rd_stats_possession,0
Def Pen,0
Def 3rd_stats_possession,0
PrgDist_stats_possession,0
Touches,0
GCA90,0
GCA,0
Def,0
Fld,0
Sh_stats_gca,0
TO,0
TotDist_stats_possession,0
Recov,0
PrgC_stats_possession,0
Off_stats_misc,0
Lost_stats_misc,0
Won,0
PassLive,0
OG,0
PKcon,0
PKwon,0
TklW_stats_misc,0
Int_stats_misc,0
Crs_stats_misc,0
Fld_stats_misc,0
1/3_stats_possession,0
Fls,0
2CrdY,0
CrdR_stats_misc,0
CrdY_stats_misc,0
PrgR_stats_possession,0
Rec,0
Dis,0
Mis,0
CPA,0
PassDead,0
Rk,0
SCA90,0
Sh/90,0
G+A-PK,0
xG+xAG,0
PrgC,0
PrgP,0
PrgR,0
Sh,0
SoT,0
SoT/90,0
Att,0
FK,0
PK_stats_shooting,0
PKatt_stats_shooting,0
xG_stats_shooting,0
npxG_stats_shooting,0
G-xG,0
np:G-xG,0
npxG+xAG,0
xAG,0
npxG,0
xG,0
Pos,0
Squad,0
Comp,0
MP,0
Starts,0
Min,0
90s,0
Gls,0
Ast,0
G+A,0
G-PK,0
PK,0
PKatt,0
CrdY,0
CrdR,0
Cmp,0
TotDist,0
SCA,0
Att_stats_defense,0
Str,0
Cmp_stats_passing_types,0
Tkl,0
TklW,0
Def 3rd,0
Mid 3rd,0
Att 3rd,0
Lost,0
PrgDist,0
Blocks_stats_defense,0
Sh_stats_defense,0
Pass,0
Player,0
Tkl+Int,0
Clr,0
Err,0
Out,0
In,0
CK,0
TI,0
Ast_stats_passing,0
xAG_stats_passing,0
xA,0
A-xAG,0
KP,0
1/3,0
PPA,0
CrsPA,0
PrgP_stats_passing,0
Live,0
Dead,0
FK_stats_passing_types,0
TB,0
Sw,0
Crs,0
Int,0
