Nation,count
es ESP,415
fr FRA,346
de GER,232
it ITA,227
eng ENG,224
br BRA,89
ar ARG,77
pt POR,64
nl NED,62
dk DEN,56
be BEL,53
ci CIV,52
ma MAR,43
ch SUI,38
se SWE,38
ng NGA,37
hr CRO,37
at AUT,36
sn SEN,36
pl POL,32
rs SRB,31
us USA,27
ml MLI,26
gh GHA,25
no NOR,24
cm CMR,24
dz ALG,22
jp JPN,22
co COL,22
ie IRL,21
sct SCO,21
uy URU,19
cz CZE,15
gn GUI,14
tr TUR,14
ua UKR,13
sk SVK,12
wls WAL,12
ro ROU,11
ca CAN,11
gr GRE,11
al ALB,10
hu HUN,10
si SVN,10
kr KOR,9
cd COD,8
ge GEO,8
ba BIH,8
xk KVX,8
eg EGY,7
tn TUN,7
py PAR,7
,7
is ISL,7
au AUS,7
ec ECU,7
fi FIN,6
ao ANG,6
mx MEX,5
jm JAM,5
ve VEN,5
cl CHI,5
bf BFA,5
ga GAB,4
tg TOG,4
gw GNB,4
cg CGO,4
cv CPV,4
mk MKD,4
ru RUS,4
zw ZIM,4
me MNE,3
zm ZAM,3
nir NIR,3
nz NZL,3
gm GAM,3
gq EQG,3
uz UZB,3
ht HAI,2
id IDN,2
sl SLE,2
sr SUR,2
lu LUX,2
mq MTQ,2
do DOM,2
iq IRQ,2
bj BEN,2
ee EST,2
il ISR,2
cf CTA,2
mg MAD,2
pe PER,2
gf GUF,2
am ARM,2
jo JOR,2
sa KSA,1
pa PAN,1
pr PUR,1
bd BAN,1
cr CRC,1
my MAS,1
lt LTU,1
ph PHI,1
cy CYP,1
gp GLP,1
mz MOZ,1
ly LBY,1
bi BDI,1
ke KEN,1
km COM,1
md MDA,1
ms MSR,1
ir IRN,1
mt MLT,1
