role_group,performance_level,count
AttMidWinger,Average,10
AttMidWinger,Good,41
AttMidWinger,Poor,40
AttMidWinger,Promising,10
DefMidWingBack,Average,3
DefMidWingBack,Good,12
DefMidWingBack,Poor,11
DefMidWingBack,Promising,3
Defender,Average,18
Defender,Good,74
Defender,Poor,73
Defender,Promising,18
Forward,Average,8
Forward,Good,33
Forward,Poor,32
Forward,Promising,8
Goalkeeper,Average,4
Goalkeeper,Good,18
Goalkeeper,Poor,17
Goalkeeper,Promising,5
Midfielder,Average,11
Midfielder,Good,45
Midfielder,Poor,43
Midfielder,Promising,11
WingBack,Average,1
WingBack,Good,6
WingBack,Poor,5
WingBack,Promising,2
