Squad,count
Como,38
Valladolid,38
Genoa,37
Betis,36
Monza,36
Southampton,36
Venezia,36
Milan,35
Sevilla,35
Montpellier,35
Rennes,35
Hoffenheim,35
Reims,34
Fiorentina,34
Empoli,34
Las Palmas,34
Lens,33
Valencia,32
Marseille,32
Saint-Étienne,32
Brighton,32
Wolves,32
Hellas Verona,32
Parma,32
Leicester City,32
Atalanta,32
Ipswich Town,32
Udinese,31
Nice,31
Lyon,31
Torino,31
Athletic Club,31
Real Sociedad,31
Villarreal,31
Manchester Utd,31
Tottenham,31
Le Havre,31
Lecce,31
Angers,30
Getafe,30
Nantes,30
Bologna,30
Real Madrid,30
Celta Vigo,30
Brest,30
Manchester City,30
Girona,30
Strasbourg,30
Bournemouth,29
Alavés,29
Chelsea,29
Juventus,29
Crystal Palace,29
Auxerre,29
Bayern Munich,29
RB Leipzig,29
Augsburg,29
Stuttgart,29
Roma,28
Dortmund,28
St. Pauli,28
Brentford,28
Monaco,28
Barcelona,28
Mallorca,28
Aston Villa,28
Paris S-G,28
Cagliari,28
Union Berlin,28
Toulouse,27
Espanyol,27
Lille,27
West Ham,27
Wolfsburg,27
Holstein Kiel,27
Bochum,27
Heidenheim,27
Lazio,27
Napoli,27
Inter,26
Freiburg,26
Everton,26
Leganés,26
Eint Frankfurt,26
Fulham,26
Rayo Vallecano,26
Gladbach,26
Osasuna,25
Mainz 05,25
Arsenal,25
Liverpool,24
Newcastle Utd,24
Atlético Madrid,24
Leverkusen,23
Werder Bremen,23
Nott'ham Forest,23
